	LncRNA name	Synonyms	Ensembl ID	Refseq ID	Position	Cancer name	ICD-0-3-T	ICD-0-3-M	Methods	Sample (tissue/ cell line)	Expression pattern	Functional description	PubMed ID	Year	Title
691	lincRNA-p21	linc-p21; lincRNA-p21; Trp53cor1	N/A	N/A	N/A	colorectal cancer	C19.9		qPCR etc.	CRC tissue, cell lines (HCT-116 (p53t/t), HCT-116(p53-/-) etc.)	down-regulated	We discovered that the expression level of lincRNA-p21 was increased by elevated wild-type p53 induced by nutlin-3 in HCT-116 colon cancer cells. The expression level of lincRNA-p21 was significantly (P = .0208) lower in CRC tumor tissue when compared with the paired normal tissue from the same patient.	24012455	2013	Clinical significance of long intergenic noncoding RNA-p21 in colorectal cancer.
692	lincRNA-p21	linc-p21; lincRNA-p21; Trp53cor1	N/A	N/A	N/A	colorectal cancer	C19.9		qPCR, Western blot, RNAi etc.	CRC tissue, cell lines (SW1116, SW620, LS 174T, HT29, LOVO etc.)	down-regulated	By expression profile analysis, we demonstrated that lincRNA-p21 decreases in CRC cell lines and tissue samples, which contributes to the elevation of β-catenin in CRC. We further showed that lincRNA-p21 increases following X-ray treatment, and enforced expression of the lincRNA enhances the sensitivity of radiotherapy for CRC by promoting cell apoptosis.	24573322	2014	LincRNA-p21 enhances the sensitivity of radiotherapy for human colorectal cancer by targeting the Wnt/β-Catenin signaling pathway.
693	lincRNA-p21	linc-p21; lincRNA-p21; Trp53cor1	N/A	N/A	N/A	glioma		M9380/3	qPCR, Western blot, RNAi, Luciferase reporter assay etc.	glioma tissues and brain tissues	down-regulated	we found that lincRNA-p21 negatively regulated the expression and activity of β-catenin in GSCs. Downregulation of lincRNA-p21 in GSCs was resulted from upregulation of Hu antigen R (HuR) expression caused by miR-146b-5p downregulation. MiR-146b-5p overexpression increased apoptosis and radiosensitivity, decreased cell viability, neurosphere formation capacity and stem cell marker expression, and induced differentiation in GSCs. Moreover, knock-down lincRNA-p21 or HuR and β-catenin overexpression could rescue the phenotypic changes resulted from miR-146b-5p overexpression in GSCs	27166258	2016	MiR-146b-5p overexpression attenuates stemness and radioresistance of glioma stem cells by targeting HuR/lincRNA-p21/β-catenin pathway
694	lincRNA-p21	linc-p21; lincRNA-p21; Trp53cor1	N/A	N/A	N/A	hepatocellular carcinoma	C22.0	M8170/3	qPCR, Western blot, RNAi etc.	HCC tissue, cell lines (HepG2, Huh7, Hep3B, LM9, Bel-7402, SMMC-7721)	down-regulated	We firstly found the downregulation of lincRNA-p21 level in human hepatocellular carcinoma tissues, and showed that low expression of lincRNA-p21 was associated with high disease stage and predicted poor survival. Further mechanism analysis revealed that lincRNA-p21 promoted ER stress both in vitro and in vivo, which facilitated apoptosis of hepatocellular carcinoma cells. Finally, we demonstrated that ER stress accounted for lincRNA-p21 effects on apoptosis, proliferation and in vivo growth of hepatocellular carcinoma. 	26305675	2015	LincRNA-p21 activates endoplasmic reticulum stress and inhibits hepatocellular carcinoma.
695	lincRNA-p21	linc-p21; lincRNA-p21; Trp53cor1	N/A	N/A	N/A	hepatocellular carcinoma	C22.0	M8170/3	qPCR, Western blot, RNAi etc.	hepatocellular cancer tissue	down-regulated	We demonstrated that lincRNA-p21 acted as a tumor suppressive lncRNA in human hepatocellular carcinoma. We firstly found the downregulation of lincRNA-p21 level in human hepatocellular carcinoma tissues, and showed that low expression of lincRNA-p21 was associated with high disease stage and predicted poor survival.We showed that lincRNA-p21 knockdown promoted proliferation and colony formation of HepG2, Huh7 and Bel-7042 cells in vitro, while lincRNA-p21 overexpression obtained oppose results.We demonstrated that ER stress accounted for lincRNA-p21 effects on apoptosis, proliferation and in vivo growth of hepatocellular carcinoma.	26305675	2015	LincRNA-p21 activates endoplasmic reticulum stress and inhibits hepatocellular carcinoma
696	lincRNA-p21	linc-p21; lincRNA-p21; Trp53cor1	N/A	N/A	N/A	lung cancer	C34		qPCR etc.	cell lines (wt MEFs, NIH/3T3 MEFs etc.)	down-regulated	Indeed, lincRNA-p21 overexpression in a lung cancer cell line harboring a KRAS mutation (referred to as LKR) and in NIH/3T3 MEFs caused a significant decrease in cell viability. This decrease in viability was due to increased apoptosis in response to DNA damage (P<0.01) and not to an effect in cell cycle regulation. 	20673990	2010	A large intergenic noncoding RNA induced by p53 mediates global gene repression in the p53 response.
697	lincRNA-p21	linc-p21; lincRNA-p21; Trp53cor1	N/A	N/A	N/A	prostate cancer	C61.9		qPCR etc.	prostate cancer tissue	up-regulated	The lincRNA-p21 levels were significantly higher in PCa than in BPH. Our data suggest that the discriminative potential of exosomal lincRNA-p21 levels may help to improve the diagnostic prediction of the malignant state for patients with PCa.	25999983	2015	Exosomal lncRNA-p21 levels may help to distinguish prostate cancer from benign disease.
698	lincRNA-TSPAN8	lincRNA-TSPAN8	N/A	N/A	N/A	hepatocellular carcinoma	C22.0	M8170/3	microarray, qPCR etc.	cell lines (Hep3B, HepG2, SMMC-7721, MHCC-97L, MHCC-97H, HCCLM3 etc.)	down-regulated	The most upregulated lncRNAs in H2 were RP11-672F9.1, RP5-1014O16.1, and RP11-501G6.1, while the most downregulated ones were lincRNA-TSPAN8, lincRNA-CALCA, C14orf132, NCRNA00173, and CR613944. Among them, lincRNA-TSPAN8 and TSPAN8 were found highly expressed in high lung metastatic potential HCC cells, while lowly expressed in no or low lung metastatic potential HCC cells. We demonstrated that a large number of lncRNAs may play important roles in driving HCC cells to metastasize to different sites; these lncRNAs may provide novel molecular biomarkers and offer a new basis for combating metastasis in HCC cases.	25556502	2014	Long Non-coding RNAs are Differentially Expressed in Hepatocellular Carcinoma Cell Lines with Differing Metastatic Potential.
699	lincRNA-uc002yug.2	LINC01426; lincRNA-uc002yug.2	ENSG00000234380	NR_038885	chr21:34745757-34784886	esophageal squamous cell carcinoma	C15	M8070/3	qPCR, Luciferase reporter assay, Western blot etc.	ESCC tissue	up-regulated	We found that lincRNA-uc002yug.2 was commonly overexpressed in ESCC. Moreover, lincRNA-uc002yug.2 promoted a combination of RUNX1 and alternative splicing (AS) factors in the nucleus to produce more RUNX1a, the short isoform and inhibitor of RUNX1, and reduce CEBPa (CCAAT/enhancer-binding protein-a) gene expression, thereby promoting ESCC progression. The expression levels of lincRNA-uc002yug.2 in ESCC might be a prognostic factor for survival.	25486427	2014	LincRNA-uc002yug.2 involves in alternative splicing of RUNX1 and serves as a predictor for esophageal cancer and prognosis.
700	lincRNA-ZNF532	lincRNA-ZNF532	N/A	N/A	N/A	pancreatic cancer	C25		microarray, qPCR etc.	cell lines (SW1990, SWl990/GZ etc.)	up-regulated	Six lncRNAs (RP11-58D2.1, lincRNA-ZNF532, AP000221.1, CTC-338M12.5, CR619813, DDX6P) were selected to validate the microarray consistency by using qPCR. The results demonstrated that RP11-58D2.1, lincRNA-ZNF532 and AP000221.1 were upregulated and that CTC-338M12.5, DDX6P and CR619813 were downregulated in the SW1990/GZ cells compared with SW1990 cells (Figure 6). 	25755691	2015	Genomic analysis of drug resistant pancreatic cancer cell line by combining long non-coding RNA and mRNA expression profling.
701	linc-ROR	lincRNA-RoR; lincRNA-ST8SIA3; ROR; linc-ROR	ENSG00000258609	NR_048536	chr18:57054559-57072119	breast cancer	C50		microarray, qPCR, Western blot etc.	breast cancer tissue, cell lines (HEK293T, MCF-7, HS578T, MDA-MB-231)	up-regulated	lincRNA-RoR was significant upregulated in DCIS and IDC tumor tissues, showing the highest expression in invasive tumor tissues. Overexpression of the long non-coding RNA, lincRNA-RoR, functions as a competitive endogenous RNA sponge in TNBC. Interestingly, lincRNA-RoR is dramatically upregulated in TNBC and in metastatic disease and knockdown restores miR-145 expression.	25253741	2014	lincRNA-RoR and miR-145 Regulate Invasion in Triple-negative Breast Cancer via Targeting ARF6.
702	linc-ROR	lincRNA-RoR; lincRNA-ST8SIA3; ROR; linc-ROR	ENSG00000258609	NR_048536	chr18:57054559-57072119	breast cancer	C50		qPCR, vivo knockdown, PIR etc.	breast cancer tissue	up-regulated	linc-ROR was upregulated in breast tumor and ectopic overexpression of linc-ROR in immortalized human mammary epithelial cells induced an epithelial-to-mesenchymal transition (EMT) program. Moreover,linc-ROR enhanced breast cancer cell migration and invasion. Linc-ROR was associated with miRNPs and functioned as a competing endogenous RNA to mi-205. linc-ROR functions as an important regulator of EMT and can promote breast cancer progression and metastasis through regulation of miRNAs.	24922071	2014	LincRNA-ROR induces epithelial-to-mesenchymal transition and contributes to breast cancer tumorigenesis and metastasis.
703	linc-ROR	lincRNA-RoR; lincRNA-ST8SIA3; ROR; linc-ROR	ENSG00000258609	NR_048536	chr18:57054559-57072119	colon cancer	C18		qPCR etc.	colon cancer tissues, cell lines (NCM460, RKO, Caco2, HCT8, SW480 and SW620)	up-regulated	In the present study, qRT-PCR was performed to measure the expression levels of lincRNA-ROR in colon cancer tissues and cell lines. Then, the clinicopathological significance and prognostic value of lincRNA-ROR were analyzed. LincRNA-ROR expression correlated with pT stage, pN stage, AJCC stage and vascular invasion. Knockdown of lincRNA-ROR restored the expression of miR-145, and had a significant influence on colon cancer cell proliferation, migration and invasion. Patients of the high lincRNA-ROR/low miR-145 group had significantly poorer outcomes than those of the low lincRNA-ROR/high miR-145 group.	27071407	2016	Long Non-Coding RNA lincRNA-ROR Promotes the Progression of Colon Cancer and Holds Prognostic Value by Associating with miR-145
704	linc-ROR	lincRNA-RoR; lincRNA-ST8SIA3; ROR; linc-ROR	ENSG00000258609	NR_048536	chr18:57054559-57072119	colorectal cancer	C19.9		qPCR, Western blot, RNAi etc.	cell lines (HT29, HRT-18)	up-regulated	we found that the expression of ROR was significantly increased in a series of tumor cells, whereas all of the negative controls remained weakly expressed.	26169368	2015	Long non-coding RNA ROR decoys gene-specific histone methylation to promote tumorigenesis.
705	linc-ROR	lincRNA-RoR; lincRNA-ST8SIA3; ROR; linc-ROR	ENSG00000258609	NR_048536	chr18:57054559-57072119	gastric cancer	C16		qPCR, Western blot, RNAi etc.	cell line (AGS)	up-regulated	we found that the expression of ROR was significantly increased in a series of tumor cells, whereas all of the negative controls remained weakly expressed.	26169368	2015	Long non-coding RNA ROR decoys gene-specific histone methylation to promote tumorigenesis.
706	linc-ROR	lincRNA-RoR; lincRNA-ST8SIA3; ROR; linc-ROR	ENSG00000258609	NR_048536	chr18:57054559-57072119	hepatocellular carcinoma	C22.0	M8170/3	qPCR, Luciferase reporter assays, RNAi etc.	cell lines (HepG2, PLC-PRF5)	up-regulated	lincRNA-ROR (linc-ROR), a stress-responsive lncRNA was highly expressed in HCC cells and enriched within extracellular vesicles derived from tumor cells. Incubation with HCC-derived extracellular vesicles increased linc-ROR expression and reduced chemotherapy-induced cell death in recipient cells. Sorafenib increased linc-ROR expression in both tumor cells and extracellular vesicles, whereas siRNA to linc-ROR increased chemotherapy-induced apoptosis and cytotoxicity.	24918061	2014	Extracellular vesicle-mediated transfer of long non-coding RNA ROR modulates chemosensitivity in human hepatocellular cancer.
707	linc-ROR	lincRNA-RoR; lincRNA-ST8SIA3; ROR; linc-ROR	ENSG00000258609	NR_048536	chr18:57054559-57072119	malignant melanoma	C44	M8720/3	qPCR, Western blot, RNAi etc.	cell lines (OM431, MUM2B)	up-regulated	we found that the expression of ROR was significantly increased in a series of tumor cells, whereas all of the negative controls remained weakly expressed.	26169368	2015	Long non-coding RNA ROR decoys gene-specific histone methylation to promote tumorigenesis.
708	linc-ROR	lincRNA-RoR; lincRNA-ST8SIA3; ROR; linc-ROR	ENSG00000258609	NR_048536	chr18:57054559-57072119	nasopharyngeal carcinoma	C11		qPCR, Western blot, RNAi, Flow cytometry assay ect.	nasopharyngeal carcinoma tissues, cell lines (CNE2, CNE1, 5‐8F, 6‐18B)	up-regulated	We found that lncRNA-ROR was significantly upregulated in NPC tissues compared with normal tissues. Next, our study proved that lncRNA-ROR was highly associated with the proliferation, metastasis and apoptosis of NPC. The enrichment of lncRNA-ROR played a critucal functional role in chemoresistance. The mechanism by which NPC resists chemotherapy might be that lncRNA-ROR suppress p53 signal pathway.	27311700	2016	Long non-coding RNA ROR promotes proliferation, migration and chemoresistance of nasopharyngeal carcinoma.
709	linc-TNFRSF19-1	linc-TNFRSF19-1	ENST00000464735	N/A	chr13:23579359-23594411	ovarian cancer	C56.9		RNA-seq, qPCR, Western Blot ect.	cell lines (A2780, A2780-DR)	down-regulated	Linc-TNFRSF19-1 and LINC00515 showed significantly decreased expression levels in cisplatin-resistant cells	27193186	2016	The Essential Role of H19 Contributing to Cisplatin Resistance by Regulating Glutathione Metabolism in High-Grade Serous Ovarian Cancer.
710	linc-UBC1	BLACAT1; LINC00912; linc-UBC1	ENSG00000281406	NR_103783	chr1:205434886-205437879	bladder cancer	C67		microarray, qPCR, RNAi, ISH etc.	bladder cancer tissue, cell lines (J82, UMUC-3, HT-1376, T24, 5637 etc.)	up-regulated	qPCR confirmed that linc-UBC1 expression is up-regulated in 60 cases (58.8%) in bladder cancer tissues compared with normal adjacent tissues, and its overexpression correlates with lymph node metastasis and poor survival. Further functional analysis demonstrated that knockdown of linc-UBC1 attenuates bladder cancer cell proliferation, motility, invasion, colony formation ability, tumorigenicity and metastatic potential. RIP and ChIP assay confirmed that linc-UBC1 physically associates with PRC2 complex and regulates histone modification status of target genes.	23688781	2013	linc-UBC1 physically associates with polycomb repressive complex 2 (PRC2) and acts as a negative prognostic factor for lymph node metastasis and survival in bladder cancer.
711	linc-UBC1	BLACAT1; LINC00912; linc-UBC1	ENSG00000281406	NR_103783	chr1:205434886-205437879	gastric cancer	C16		qPCR, RNAi etc.	gastric cancer tissue, cell lines (BGC-823, SGC-7901, AGS, MKN-45, HGC-27 etc.)	up-regulated	We found that linc-UBC1 was significantly upregulated in gastric cancer tissues compared to adjacent normal tissues. Furthermore, high linc-UBC1 expression was associated with lymph-node metastasis, tumor size, TNM stage and poorer prognosis. Inhibition of linc-UBC1 suppressed the proliferation, motility and invasion of gastric cancer cells.Inhibition of linc-UBC1 suppressed the proliferation, motility and invasion of gastric cancer cells.	25755750	2015	Long noncoding RNA linc-UBC1 is negative prognostic factor and exhibits tumor pro-oncogenic activity in gastric cancer.
712	linc-VLDLR	linc-VLDLR	N/A	N/A	N/A	hepatocellular carcinoma	C22.0	M8170/3	qPCR, Western blot, RNAi etc.	cell lines (HepG2, Hep3B, PLC/PRF-5, Huh-7)	up-regulated	lincRNA-VLDLR (linc-VLDLR) was significantly upregulated in malignant hepatocytes. Exposure of HCC cells to diverse anticancer agents such as sorafenib, camptothecin, and doxorubicin increased linc-VLDLR expression in cells as well as within EVs released from these cells. Incubation with EVs reduced chemotherapy-induced cell death and also increased linc-VLDLR expression in recipient cells. RNAi-mediated knockdown of linc-VLDLR decreased cell viability and abrogated cell-cycle progression.	24874432	2014	Involvement of extracellular vesicle long noncoding RNA (linc-VLDLR) in tumor cell responses to chemotherapy.
713	lin-RECK-3	lin-RECK-3	ENST00000475774	N/A	chr9:36036924-36086181	ovarian cancer	C56.9		RNA-seq, qPCR, Western Blot ect.	cell lines (A2780, A2780-DR)	up-regulated	Here, we showed that expression of lin-RECK-3, H19, LUCAT1, LINC00961, and linc-CARS2-2 was enhanced in cisplatin-resistant A2780-DR cells, Lin-RECK-3, H19, LUCAT1, LINC00961, and linc-CARS2-2 showed significantly increased expression levels in A2780-DR cells.	27193186	2016	The Essential Role of H19 Contributing to Cisplatin Resistance by Regulating Glutathione Metabolism in High-Grade Serous Ovarian Cancer.
714	Llme23	Llme23	N/A	N/A	N/A	melanoma		M8720/3	qPCR, Western bolt, Northern bolt, RNAi, RIP etc.	cell lines (MCF10A, HEK293, A2058, SKmel28, YU-SIT1, YUSAC etc.)	differential expression	The specific binding of Llme23 to both recombinant and native PSF protein was confirmed in vitro and in vivo. The expression of PSF-binding Llme23 is exclusively detected in human melanoma lines. Knocking down Llme23 remarkably suppressed the malignant property of YUSAC cells, accompanied by the repressed expression of proto-oncogene Rab23. These results may indicate that Llme23 can function as an oncogenic RNA and directly associate the PSF-binding lncRNA with human melanoma.	23618401	2013	The non-coding RNA llme23 drives the malignant property of human melanoma cells.
715	LNC00964-3	LNC00964-3	N/A	N/A	N/A	colorectal cancer	C19.9		qPCR etc.	CRC tissue	down-regulated	Furthermore, the authors observed that mRNA expression levels of LNC00964-3 were significantly lower in CRC tissues than in corresponding normal tissues. The current findings reveal the possibility that piR-015551 may be generated from LNC00964-3, which may be involved in the development of CRC	25740697	2015	Genetic variants in noncoding PIWI-interacting RNA and colorectal cancer risk.
716	lnc34a	lnc34a	N/A	N/A	N/A	colon cancer	C18		qPCR, Western blot, RIP etc.	cell lines Colo205, SW480, HT29, SW620, LS174T, DLD1 ect.)	up-regulated	Here we report a novel LncRNA, Lnc34a, that is enriched in colon cancer stem cells (CCSCs) and initiates asymmetric division by directly targeting the microRNA miR-34a to cause its spatial imbalance. Lnc34a recruits Dnmt3a via PHB2 and HDAC1 to methylate and deacetylate the miR-34a promoter simultaneously, hence epigenetically silencing miR-34a expression independent of its upstream regulator, p53. Lnc34a levels affect CCSC self-renewal and colorectal cancer (CRC) growth in xenograft models. Lnc34a is upregulated in late-stage CRCs, contributing to epigenetic miR-34a silencing and CRC proliferation.	27077950	2016	A long non-coding RNA targets microRNA miR-34a to regulate colon cancer stem cell asymmetric division
717	lnc-ACACA-1	lnc-ACACA-1	N/A	N/A	N/A	clear cell renal cell carcinoma	C64.9	M8005/0	microarray, qPCR etc.	ccRCC tissue	down-regulated	Among these, aberrant expression was validated using PCR: lnc-BMP2-2, lnc-CPN2-1, lnc-FZD1-2, lnc-ITPR2-3, lnc-SLC30A4-1, and lnc-SPAM1-6 were highly overexpressed in ccRCC, whereas lnc-ACACA-1, lnc-FOXG1-2, lnc-LCP2-2, lnc-RP3-368B9, and lnc-TTC34-3 were downregulated. Computational analyses revealed that these lncRNAs are involved in RNA-protein networks related to splicing, binding, transport, localization, and processing of RNA.	25685243	2015	Identification of novel long non-coding RNAs in clear cell renal cell carcinoma.
718	lnc-AF085935	lnc-AF085935	N/A	N/A	chrX:133897080-133898280	hepatocellular carcinoma	C22.0	M8170/3	qPCR etc.	blood (serum)	up-regulated	The level of serum lncRNA-uc003wbd and lncRNA-AF085935 was significantly upregulated in HCC patients and HBV patients compared with that in normal controls.In addition, higher expressions of lncRNAs were observed in HCC patients than in HBV patients. LncRNA-uc003wbd and lncRNA-AF085935 were observed with an aberrant serum level in HCC and HBV patients, which is showing that both lncRNA-uc003wbd and lncRNA-AF085935 are able to be potential biomarkers for HCC and HBV screening.	25501706	2014	Investigation of serum lncRNA-uc003wbd and lncRNA-AF085935 expression profile in patients with hepatocellular carcinoma and HBV.
719	lnc-AL355149.1-1	lnc-AL355149.1-1	ENSG00000266584	N/A	chr1:16548914-16548987	nasopharyngeal carcinoma	C11		microarray, qPCR etc.	NPC tissue	up-regulated	In primary NPC, upregulation of lnc-C22orf32-1, lnc-AL355149.1-1, and lnc-ZNF674-1 was observed. High levels of lnc-C22orf32-1 and lnc-AL355149.1-1 were significantly associated with the male patients. In addition, increased expression of lnc-C22orf32-1 and lnc-ZNF674-1 was associated with advanced tumor stages. Recurrent NPC displayed a distinctive lncRNA expression pattern. lnc-BCL2L11-3 was significantly increased in the recurrent NPC tissues. In addition, significant reduction of lnc-AL355149.1-1 and lnc-ZNF674-1 was observed in the recurrent NPC tissues.	24822202	2014	Differential expression of long noncoding RNA in primary and recurrent nasopharyngeal carcinoma.
720	lnc-AL355149.1-1	lnc-AL355149.1-1	ENSG00000266584	N/A	chr1:16548914-16548987	tongue squamous cell carcinoma	C02	M8070/3	microarray, qPCR etc.	tongue SCC tissue	down-regulated	Overexpression of lnc-SPRR2D-1 and lnc-PPP2R4-5 was found in the tongue SCC tissue. Overexpression of the lnc-MBL2-4:3 in the tongue SCC was highly significant in comparison with the paired normal epithelia. Lnc-AL355149.1-1 was the only lncRNA found to be downregulated in the tongue SCC tissues.The association of lncRNA with the T-stage and nodal status of tongue SCC patients suggested that lncRNA deregulation was involved in the pathogenesis of tongue SCC.	25045670	2014	Long non-coding RNA deregulation in tongue squamous cell carcinoma.
721	lnc-bc060912	lnc-bc060912	N/A	N/A	N/A	lung cancer	C34		qPCR, Northern blot, RNAi, RIP etc.	cell lines (H1299, A549, 293T)	up-regulated	Here we have identified a lncRNA termed Lnc-bc060912 whose expression is increased in human lung and other tumors. Lnc-bc060912 suppressed cell apoptosis. Lnc-bc060912 via PARP1 and NPM1, affects cell apoptosis and may play important roles in tumorigenesis and cancer progression.	25848691	2015	The Functional Characterization of Long Non-coding RNA Lnc-bc060912 in Human Lung Carcinoma Cells.
722	lnc-BMP2-2	lnc-BMP2-2	N/A	N/A	N/A	clear cell renal cell carcinoma	C64.9	M8005/0	microarray, qPCR etc.	ccRCC tissue	up-regulated	Among these, aberrant expression was validated using PCR: lnc-BMP2-2, lnc-CPN2-1, lnc-FZD1-2, lnc-ITPR2-3, lnc-SLC30A4-1, and lnc-SPAM1-6 were highly overexpressed in ccRCC, whereas lnc-ACACA-1, lnc-FOXG1-2, lnc-LCP2-2, lnc-RP3-368B9, and lnc-TTC34-3 were downregulated. Computational analyses revealed that these lncRNAs are involved in RNA-protein networks related to splicing, binding, transport, localization, and processing of RNA.	25685243	2015	Identification of novel long non-coding RNAs in clear cell renal cell carcinoma.
723	lnc-C22orf32-1	LINC01315; lnc-C22orf32-1	ENSG00000229891	NR_120597	chr22:42364400-42369236	nasopharyngeal carcinoma	C11		microarray, qPCR etc.	NPC tissue	up-regulated	In primary NPC, upregulation of lnc-C22orf32-1, lnc-AL355149.1-1, and lnc-ZNF674-1 was observed. High levels of lnc-C22orf32-1 and lnc-AL355149.1-1 were significantly associated with the male patients. In addition, increased expression of lnc-C22orf32-1 and lnc-ZNF674-1 was associated with advanced tumor stages. Recurrent NPC displayed a distinctive lncRNA expression pattern. lnc-BCL2L11-3 was significantly increased in the recurrent NPC tissues. In addition, significant reduction of lnc-AL355149.1-1 and lnc-ZNF674-1 was observed in the recurrent NPC tissues.	24822202	2014	Differential expression of long noncoding RNA in primary and recurrent nasopharyngeal carcinoma.
724	lnc-CC3	lnc-CC3	ENST00000533914	N/A	chr11:20376017-20383778	cervical cancer	C53		qPCR, Northern blot, ISH etc.	cell lines (SiHa, HeLa, CaSki ect.)	up-regulated	Overexpression of lnc-CC3 promoted migration and invasion by SiHa cervical cancer cells in vitro and in vivo, increased Slug expression, and reduced the expression of the epithelial cell marker E-cadherin. Conversely, lnc-CC3 knockdown altered SiHa cell morphology and increased the expression of E-cadherin, thereby suppressing migration and invasion.	27223436	2016	Lnc-CC3 increases metastasis in cervical cancer by increasing Slug expression.
725	lnc-CPN2-1	lnc-CPN2-1	N/A	N/A	chr3:194338319-194352773	clear cell renal cell carcinoma	C64.9	M8005/0	microarray, qPCR etc.	ccRCC tissue	up-regulated	Among these, aberrant expression was validated using PCR: lnc-BMP2-2, lnc-CPN2-1, lnc-FZD1-2, lnc-ITPR2-3, lnc-SLC30A4-1, and lnc-SPAM1-6 were highly overexpressed in ccRCC, whereas lnc-ACACA-1, lnc-FOXG1-2, lnc-LCP2-2, lnc-RP3-368B9, and lnc-TTC34-3 were downregulated. Computational analyses revealed that these lncRNAs are involved in RNA-protein networks related to splicing, binding, transport, localization, and processing of RNA.	25685243	2015	Identification of novel long non-coding RNAs in clear cell renal cell carcinoma.
726	lnc-CYP4A22-2/3	lnc-CYP4A22-2/3	N/A	N/A	N/A	clear cell renal cell carcinoma	C64.9	M8005/0	microarray, qPCR etc.	ccRCC tissue	up-regulated	lnc-ZNF180-2 levels were similar in localized ccRCC and normal renal tissue, but we observed a significant increase of lnc-ZNF180-2 expression in advanced ccRCC tissue. Furthermore, lnc-ZNF180-2 expression levels were an independent predictor of progression-free survival, cancer-specific survival and overall survival in ccRCC patients. We also observed that lnc-CYP4A22-2/3 expression levels allowed discrimination of ccRCC and normal renal tissue. In conclusion, lncRNAs are involved in renal carcinogenesis, and quantification of lnc-ZNF180-2 may be useful for the prediction of ccRCC patients outcome following nephrectomy.	26609485	2015	The long non-coding RNA lnc-ZNF180-2 is a prognostic biomarker in patients with clear cell renal cell carcinoma.
727	lnc-FOXG1-2	lnc-FOXG1-2	N/A	N/A	chr14:28765200-28771600	clear cell renal cell carcinoma	C64.9	M8005/0	microarray, qPCR etc.	ccRCC tissue	down-regulated	Among these, aberrant expression was validated using PCR: lnc-BMP2-2, lnc-CPN2-1, lnc-FZD1-2, lnc-ITPR2-3, lnc-SLC30A4-1, and lnc-SPAM1-6 were highly overexpressed in ccRCC, whereas lnc-ACACA-1, lnc-FOXG1-2, lnc-LCP2-2, lnc-RP3-368B9, and lnc-TTC34-3 were downregulated. Computational analyses revealed that these lncRNAs are involved in RNA-protein networks related to splicing, binding, transport, localization, and processing of RNA.	25685243	2015	Identification of novel long non-coding RNAs in clear cell renal cell carcinoma.
728	lnc-FZD1-2	lnc-FZD1-2	N/A	N/A	N/A	clear cell renal cell carcinoma	C64.9	M8005/0	microarray, qPCR etc.	ccRCC tissue	up-regulated	Among these, aberrant expression was validated using PCR: lnc-BMP2-2, lnc-CPN2-1, lnc-FZD1-2, lnc-ITPR2-3, lnc-SLC30A4-1, and lnc-SPAM1-6 were highly overexpressed in ccRCC, whereas lnc-ACACA-1, lnc-FOXG1-2, lnc-LCP2-2, lnc-RP3-368B9, and lnc-TTC34-3 were downregulated. Computational analyses revealed that these lncRNAs are involved in RNA-protein networks related to splicing, binding, transport, localization, and processing of RNA.	25685243	2015	Identification of novel long non-coding RNAs in clear cell renal cell carcinoma.
729	lnc-ITPR2-3	lnc-ITPR2-3	N/A	N/A	chr12:26336670-26337760	clear cell renal cell carcinoma	C64.9	M8005/0	microarray, qPCR etc.	ccRCC tissue	up-regulated	Among these, aberrant expression was validated using PCR: lnc-BMP2-2, lnc-CPN2-1, lnc-FZD1-2, lnc-ITPR2-3, lnc-SLC30A4-1, and lnc-SPAM1-6 were highly overexpressed in ccRCC, whereas lnc-ACACA-1, lnc-FOXG1-2, lnc-LCP2-2, lnc-RP3-368B9, and lnc-TTC34-3 were downregulated. Computational analyses revealed that these lncRNAs are involved in RNA-protein networks related to splicing, binding, transport, localization, and processing of RNA.	25685243	2015	Identification of novel long non-coding RNAs in clear cell renal cell carcinoma.
730	lnc-JPH1-7	lnc-JPH1-7	N/A	N/A	N/A	head and neck squamous cell carcinoma		M8070/3	qPCR, RNAi ect.	cell lines (UMSCC-10B, UMSCC-22B, HN-1, HN-12, HN-30, SCC-4, Cal-27 ect.)	up-regulated	We found that elevated lnc-JPH1-7 levels in HNSCCs associated not only with poor prognosis, methyltransferase KMT2D (MLL1) mutation, and concurrent TP53 mutation and 3p deletion, but also significantly correlated to advanced tumor stage (p = 0.02; Supplementary Figure S3a). Furthermore, higher median lnc-JPH1-7 expression was observed among HPVnegative patients and patients reporting history of smoking.	27323410	2016	The non-coding landscape of head and neck squamous cell carcinoma.
731	lnc-KCMF1-2:1	lnc-KCMF1-2:1	N/A	N/A	N/A	papillary thyroid carcinoma	C73.9	M8260/3	microarray, qPCR etc.	papillary thyroid carcinoma tissue	down-regulated	We randomly chose a total of 10 differentially expressed lncRNAs for qPCR, of which TCONS_l2_00010365, n386477, n340790, lnc-LLPH-2:1 and NR_003225.2 were up-regulated and lnc-PSD4-1:14, n335550, lnc-KCMF1-2:1, lnc-PLA2R1-1:1 and ENST00000422494.1 were down-regulated in PTC. The results of qPCR were consistent with those of the microarray, in that all 10 lncRNAs were differentially expressed with the same trend (up- or down-regulated) and reached statistical significance.	26003293	2015	Genome-wide analysis of long noncoding RNA expression profile in papillary thyroid carcinoma.
